자치구명,범죄밀도,12-18시_생산가능_인구밀도,GVA,행복지수_가정생활,유흥주점_밀도,조도 평균(lux)
강남구,103.65,8248.490223,70453710,6.94,16.5,4811.879855
강동구,72.35,4980.69117,8546013,7.13,11.7,4572.203086
강북구,76.23,2961.868299,3147933,6.9,6.3,3944.936384
강서구,58.84,3664.075486,17025623,6.45,5.4,4773.556889
관악구,88.6,4520.002598,5893427,6.7,13.9,5896.984824
광진구,100.59,6354.047956,6027026,6.55,1.5,5387.654061
구로구,110.14,5455.625447,13424370,6.55,3.7,4300.493905
금천구,103.23,5829.893745,16353849,6.43,7.8,5276.071769
노원구,57.03,3476.304711,6203918,7.21,1.2,4644.42408
도봉구,52.11,3003.888218,3213654,6.87,1.5,4832.934356
동대문구,103.45,7339.389625,7028364,6.68,15.3,4744.619663
동작구,82.64,6512.678761,6191012,7.33,6.2,5168.458259
마포구,101.89,6880.398727,19822177,6.95,6,4975.019968
서대문구,62.79,6793.278383,8237074,7.02,5.7,6564.288181
서초구,51.27,4403.620142,34954544,7.32,6.2,3621.751726
성동구,67.6,6930.621546,12647023,7.03,2,4954.962434
성북구,58.91,4685.678356,5932295,7.21,1,5554.778058
송파구,80.93,6446.24844,29117448,7.13,6,3883.793477
양천구,81.56,5087.709652,6777387,6.39,0.7,5627.082295
영등포구,98.33,7075.03333,38233583,6.38,17.2,4131.716884
용산구,79.24,4752.029424,12069490,6.39,4,3323.150984
은평구,57.35,3392.383513,4700018,7.31,4.5,7872.546596
종로구,67.21,5021.777551,31370800,7,18.2,4256.463601
중구,150,12840.14424,53162829,6.5,65.5,4799.578877
중랑구,96.59,4586.867839,4455538,7.06,2.5,5557.930234
