자치구명,범죄밀도,12-18시_생산가능_인구밀도,GVA,행복지수_가정생활,유흥주점_수
강남구,103.65,8545,70453710,6.94,651
강동구,72.35,12339,8546013,7.13,288
강북구,76.23,8153,3147933,6.9,149
강서구,58.84,9399,17025623,6.45,225
관악구,88.6,12442,5893427,6.7,410
광진구,100.59,14799,6027026,6.55,26
구로구,110.14,14488,13424370,6.55,75
금천구,103.23,13691,16353849,6.43,101
노원구,57.03,9379,6203918,7.21,44
도봉구,52.11,9807,3213654,6.87,31
동대문구,103.45,17118,7028364,6.68,218
동작구,82.64,16682,6191012,7.33,101
마포구,101.89,10946,19822177,6.95,144
서대문구,62.79,12524,8237074,7.02,101
서초구,51.27,5453,34954544,7.32,291
성동구,67.6,11889,12647023,7.03,33
성북구,58.91,12092,5932295,7.21,24
송파구,80.93,12938,29117448,7.13,203
양천구,81.56,16431,6777387,6.39,12
영등포구,98.33,11672,38233583,6.38,422
용산구,79.24,7117,12069490,6.39,88
은평구,57.35,10392,4700018,7.31,134
종로구,67.21,8891,31370800,7,436
중구,150,14244,53162829,6.5,652
중랑구,96.59,,4455538,7.06,46
