자치구,월평균소득,소득구간,지출총금액,GVA,1인당GVA
종로구,3725859,7,1.25E+12,31370800,203
중구,3513603,7,9.69E+12,53162829,403
용산구,3971498,8,9.58E+11,12069490,50
성동구,3734499,7,3.33E+11,12647023,43
광진구,3192971,7,3.62E+11,6027026,17
동대문구,3030256,7,3.50E+11,7028364,19
중랑구,2598785,6,2.51E+11,4455538,11
성북구,3281773,7,3.05E+11,5932295,13
강북구,2547460,6,2.27E+11,3147933,10
도봉구,2785111,6,1.85E+11,3213654,10
노원구,3195375,7,4.62E+11,6203918,12
은평구,2912739,6,3.30E+11,4700018,9
서대문구,3417706,7,5.43E+11,8237074,26
마포구,3832436,8,4.19E+12,19822177,52
양천구,3796034,8,7.54E+11,6777387,15
강서구,3160623,7,8.62E+11,17025623,29
구로구,2994059,7,5.18E+12,13424370,31
금천구,2632285,6,2.78E+11,16353849,66
영등포구,3604887,7,1.03E+12,38233583,95
동작구,3454170,7,6.78E+11,6191012,15
관악구,2771927,6,4.38E+11,5893427,11
서초구,4912401,9,2.38E+12,34954544,83
강남구,4943841,9,1.02E+13,70453710,131
송파구,3995905,8,7.76E+11,29117448,43
강동구,3292857,7,6.28E+11,8546013,18
