자치구명,시간대_대분류,총_생활인구밀도,유소년_생활인구밀도,생산가능_생활인구밀도,고령_생활인구밀도
종로구,심야,8679.36,1112.66,5585.31,1981.39
종로구,야간,10149.68,1186.58,6840.41,2122.69
종로구,주간,13835.9,1425.7,9501.03,2909.17
중구,심야,17238.73,1780.38,11944.18,3514.17
중구,야간,21141.4,1917.81,15338.55,3885.04
중구,주간,33035.45,2319.96,24786.16,5929.33
용산구,심야,11873.07,1506.42,8010.93,2355.72
용산구,야간,12573.29,1499.92,8714.14,2359.23
용산구,주간,13717.48,1570.99,9602.74,2543.75
성동구,심야,19206.14,2722.59,12573.55,3910
성동구,야간,19884.88,2769.68,13175.27,3939.93
성동구,주간,20962.6,2791.47,14138.92,4032.21
광진구,심야,21473.36,3085.16,14334.92,4053.28
광진구,야간,21710.02,3180.11,14432.33,4097.58
광진구,주간,20320.98,3239.82,13136.36,3944.8
동대문구,심야,24592.25,3427.26,15740.32,5424.67
동대문구,야간,24060.92,3357.16,15225.3,5478.46
동대문구,주간,24125.05,3368.2,14984.68,5772.17
중랑구,심야,20341.98,2857.32,12470.11,5014.55
중랑구,야간,19591.55,2775.89,11824,4991.66
중랑구,주간,17604.14,2710.04,10287.4,4606.7
성북구,심야,17847.52,3160.15,10851.89,3835.48
성북구,야간,17390.82,3115.85,10448.24,3826.73
성북구,주간,16108.75,3019.96,9529.63,3559.16
강북구,심야,12971,1821.75,7622.24,3527.01
강북구,야간,12557.88,1777.61,7285.3,3494.97
강북구,주간,11484.56,1753.62,6483.43,3247.51
도봉구,심야,13893.61,2152.57,7934.36,3806.68
도봉구,야간,13460.72,2108.16,7542.5,3810.06
도봉구,주간,12326.93,2077.69,6686.08,3563.16
노원구,심야,14782.78,2767.03,8526.22,3489.53
노원구,야간,14413.82,2784.37,8189.96,3439.49
노원구,주간,13332.93,2843.12,7271.52,3218.29
은평구,심야,15811.89,2538.51,9565.22,3708.16
은평구,야간,15077.28,2469.39,8936.87,3671.02
은평구,주간,13379.95,2403.44,7621.03,3355.48
서대문구,심야,19826.27,2925.67,12815.72,4084.88
서대문구,야간,19733.94,2902.7,12751.17,4080.07
서대문구,주간,20466.47,2987.38,13449.95,4029.14
마포구,심야,17415.11,2468.35,11927.93,3018.83
마포구,야간,18845.42,2661.15,13148.31,3035.96
마포구,주간,19335.85,2665.95,13559.68,3110.22
양천구,심야,22507.72,4743.51,13089.74,4674.47
양천구,야간,22174.81,4887.11,12622.85,4664.85
양천구,주간,20258.57,4748.68,11165.89,4344
강서구,심야,13352.89,2093.36,8407.38,2852.15
강서구,야간,13066.77,2054.21,8174.64,2837.92
강서구,주간,12730.87,2050.83,7962.02,2718.02
구로구,심야,19241.97,2955.76,12027.82,4258.39
구로구,야간,19292.84,2906.91,12106.34,4279.59
구로구,주간,18865.17,2888.22,11877.89,4099.06
금천구,심야,15642.42,1786.9,10478.84,3376.68
금천구,야간,15950.47,1812.91,10696.95,3440.61
금천구,주간,17766.03,1810.83,12462.84,3492.36
영등포구,심야,16937.31,2185.25,11371.96,3380.1
영등포구,야간,18162.09,2252.7,12432.78,3476.61
영등포구,주간,20792.79,2284.8,14698.48,3809.51
동작구,심야,24586.83,3595.73,15816.97,5174.13
동작구,야간,23878.78,3515.42,15228.82,5134.54
동작구,주간,22082.95,3486.9,13789.74,4806.31
관악구,심야,17131.7,1867.4,12014.56,3249.74
관악구,야간,16388.62,1828.32,11326.03,3234.27
관악구,주간,14648.44,1812.36,9843.47,2992.61
서초구,심야,10022.5,1941.54,6193.95,1887.01
서초구,야간,11094.84,2012.68,7109.52,1972.64
서초구,주간,13199.59,2039.24,8877.24,2283.11
강남구,심야,16576.79,3187.83,10464,2924.96
강남구,야간,18722.49,3457.29,12279.05,2986.15
강남구,주간,23252.36,3572.9,16157.51,3521.95
송파구,심야,21666.11,3891.01,13407.21,4367.89
송파구,야간,22005.76,3955.3,13680.72,4369.74
송파구,주간,21952.04,4026.96,13594.4,4330.68
강동구,심야,21616.05,3794.64,12873.2,4948.21
강동구,야간,20907.92,3684.84,12301.52,4921.56
강동구,주간,19331.39,3650.5,11034.94,4645.95
