자치구명,면적당강력범죄건수,CCTV_밀도,주요기관_밀도,유흥주점_밀도
종로구,67.21,75.8,1.34,18.2
중구,150.0,203.6,2.71,65.5
용산구,79.24,115.7,0.87,4.0
성동구,67.6,215.6,1.25,2.0
광진구,100.59,197.5,1.0,1.5
동대문구,103.45,182.2,1.9,15.3
중랑구,96.59,208.4,1.24,2.5
성북구,58.91,163.3,1.26,1.0
강북구,76.23,135.0,0.85,6.3
도봉구,52.11,96.6,0.73,1.5
노원구,57.03,64.4,0.65,1.2
은평구,57.35,138.1,0.91,4.5
서대문구,62.79,166.0,0.96,5.7
마포구,101.89,105.0,0.96,6.0
양천구,81.56,208.3,1.32,0.7
강서구,58.84,76.0,0.48,5.4
구로구,110.14,199.4,1.24,3.7
금천구,103.23,192.0,1.23,7.8
영등포구,98.33,158.7,0.94,17.2
동작구,82.64,147.0,1.41,6.2
관악구,88.6,136.2,0.85,13.9
서초구,51.27,67.7,0.64,6.2
강남구,103.65,164.4,0.89,16.5
송파구,80.93,82.8,1.03,6.0
강동구,72.35,125.5,0.98,11.7
